,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1004,26,0.07142857142857142,0.5,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142
1,2007,27,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142
2,3014,28,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693
3,4019,28,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693
4,5025,29,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693
5,6029,30,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142
6,7034,32,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
7,8039,33,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667
8,9043,35,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667
9,10047,36,0.2,0.3333333333333333,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
10,11056,36,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
11,12072,36,0.2,0.3333333333333333,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
12,13095,37,0.2,0.4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
13,14113,37,0.2,0.4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
14,15135,37,0.2,0.4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
15,16152,37,0.2,0.4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
16,17169,37,0.2,0.4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
17,18179,37,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
18,19199,38,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
19,20221,38,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
20,21239,38,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
21,22258,38,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
22,23281,38,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
23,24306,38,0.06666666666666667,0.4666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
24,25315,39,0.06666666666666667,0.4,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333
25,26332,40,0.06666666666666667,0.4,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333
26,27348,41,0.06666666666666667,0.4,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333
27,28365,41,0.06666666666666667,0.4,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333
28,29387,41,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333
29,30410,41,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333
30,31433,42,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333
31,32453,43,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.2
32,33473,43,0.13333333333333333,0.4,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.2
33,34494,43,0.13333333333333333,0.4,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.2
34,35508,45,0.125,0.4375,0.0625,0.125,0.0625,0.1875
35,36528,45,0.125,0.4375,0.0625,0.125,0.0625,0.1875
36,37548,46,0.125,0.4375,0.0625,0.125,0.0625,0.1875
37,38564,46,0.125,0.4375,0.0625,0.125,0.0625,0.1875
38,39588,48,0.125,0.4375,0.0625,0.125,0.0625,0.1875
39,40601,48,0.125,0.4375,0.0625,0.125,0.0625,0.1875
40,41620,49,0.125,0.4375,0.0625,0.125,0.0625,0.1875
41,42642,49,0.125,0.4375,0.0625,0.125,0.0625,0.1875
42,43657,50,0.125,0.4375,0.0625,0.125,0.0625,0.1875
43,44676,50,0.125,0.4375,0.0625,0.125,0.0625,0.1875
44,45697,50,0.125,0.4375,0.0625,0.125,0.0625,0.1875
45,46717,50,0.125,0.5,0.0625,0.125,0.0625,0.125
46,47740,50,0.125,0.5,0.0625,0.125,0.0625,0.125
47,48761,50,0.125,0.5,0.0625,0.125,0.0625,0.125
48,49781,50,0.125,0.5,0.0625,0.125,0.0625,0.125
49,50000,50,0.125,0.5,0.0625,0.125,0.0625,0.125
