,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1001,23,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693
1,2005,25,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.07142857142857142
2,3006,27,0.3333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
3,4010,28,0.3333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
4,5014,29,0.3333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
5,6015,29,0.3333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
6,7019,30,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
7,8023,32,0.3333333333333333,0.2,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
8,9028,34,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
9,10034,37,0.25,0.3125,0.125,0.1875,0.0625,0.0625
10,11034,39,0.25,0.3125,0.125,0.125,0.0625,0.125
11,12042,41,0.25,0.25,0.1875,0.125,0.0625,0.125
12,13051,42,0.25,0.25,0.25,0.0625,0.0625,0.125
13,14058,42,0.3125,0.25,0.1875,0.0625,0.0625,0.125
14,15069,42,0.3125,0.25,0.1875,0.0625,0.0625,0.125
15,16077,44,0.26666666666666666,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333
16,17083,44,0.26666666666666666,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333
17,18090,44,0.26666666666666666,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333
18,19097,46,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333
19,20106,46,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333
20,21116,47,0.3125,0.25,0.125,0.125,0.0625,0.125
21,22123,48,0.3125,0.3125,0.125,0.0625,0.0625,0.125
22,23136,48,0.3125,0.3125,0.125,0.0625,0.0625,0.125
23,24148,48,0.3125,0.3125,0.125,0.0625,0.0625,0.125
24,25159,50,0.375,0.1875,0.125,0.125,0.0625,0.125
25,26168,50,0.375,0.1875,0.125,0.125,0.0625,0.125
26,27175,50,0.375,0.1875,0.125,0.125,0.0625,0.125
27,28187,50,0.375,0.1875,0.125,0.125,0.0625,0.125
28,29197,50,0.375,0.1875,0.125,0.125,0.0625,0.125
29,30209,50,0.375,0.1875,0.125,0.125,0.0625,0.125
30,31210,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
31,32222,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
32,33233,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
33,34242,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
34,35254,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
35,36263,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
36,37273,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
37,38282,53,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413
38,39287,53,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.23529411764705882
39,40308,53,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.23529411764705882
40,41332,53,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.23529411764705882
41,42357,53,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.23529411764705882
42,43366,54,0.3125,0.125,0.125,0.125,0.0625,0.25
43,44383,54,0.25,0.125,0.125,0.125,0.0625,0.3125
44,45402,55,0.3125,0.125,0.125,0.125,0.0625,0.25
45,46424,55,0.3125,0.125,0.125,0.125,0.0625,0.25
46,47446,55,0.3125,0.125,0.125,0.125,0.0625,0.25
47,48466,56,0.3125,0.125,0.125,0.125,0.0625,0.25
48,49491,56,0.3125,0.125,0.125,0.125,0.0625,0.25
49,50024,56,0.3125,0.125,0.125,0.125,0.0625,0.25
