,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1004,122,0.5,0.025,0.075,0.35,0.025,0.025
1,2007,253,0.7530864197530864,0.07407407407407407,0.012345679012345678,0.1111111111111111,0.012345679012345678,0.037037037037037035
2,3013,411,0.8481012658227848,0.05063291139240506,0.02531645569620253,0.0379746835443038,0.012658227848101266,0.02531645569620253
3,4019,591,0.8656716417910447,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.029850746268656716
4,5024,730,0.8947368421052632,0.013157894736842105,0.039473684210526314,0.02631578947368421,0.013157894736842105,0.013157894736842105
5,6028,848,0.8804347826086957,0.021739130434782608,0.05434782608695652,0.021739130434782608,0.010869565217391304,0.010869565217391304
6,7033,975,0.8623853211009175,0.03669724770642202,0.05504587155963303,0.01834862385321101,0.009174311926605505,0.01834862385321101
7,8035,1075,0.905982905982906,0.03418803418803419,0.02564102564102564,0.017094017094017096,0.008547008547008548,0.008547008547008548
8,9039,1182,0.8905109489051095,0.043795620437956206,0.014598540145985401,0.014598540145985401,0.0072992700729927005,0.029197080291970802
9,10048,1287,0.8869565217391304,0.043478260869565216,0.02608695652173913,0.017391304347826087,0.008695652173913044,0.017391304347826087
10,11237,1337,0.8984375,0.0390625,0.015625,0.015625,0.0078125,0.0234375
11,12535,1438,0.9140625,0.0234375,0.0078125,0.015625,0.0078125,0.03125
12,13832,1524,0.8923076923076924,0.046153846153846156,0.015384615384615385,0.015384615384615385,0.007692307692307693,0.023076923076923078
13,15129,1610,0.8943661971830986,0.04929577464788732,0.007042253521126761,0.014084507042253521,0.007042253521126761,0.028169014084507043
14,16428,1697,0.9147286821705426,0.03875968992248062,0.007751937984496124,0.015503875968992248,0.007751937984496124,0.015503875968992248
15,17727,1790,0.9126984126984127,0.031746031746031744,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.023809523809523808
16,19025,1871,0.9333333333333333,0.014814814814814815,0.014814814814814815,0.014814814814814815,0.007407407407407408,0.014814814814814815
17,20324,1942,0.9432624113475178,0.0070921985815602835,0.02127659574468085,0.014184397163120567,0.0070921985815602835,0.0070921985815602835
18,21622,2016,0.9328859060402684,0.006711409395973154,0.026845637583892617,0.013422818791946308,0.006711409395973154,0.013422818791946308
19,22919,2088,0.9342105263157895,0.006578947368421052,0.019736842105263157,0.013157894736842105,0.006578947368421052,0.019736842105263157
20,24218,2157,0.9421965317919075,0.005780346820809248,0.017341040462427744,0.011560693641618497,0.005780346820809248,0.017341040462427744
21,25515,2228,0.9456521739130435,0.005434782608695652,0.010869565217391304,0.010869565217391304,0.005434782608695652,0.021739130434782608
22,26812,2308,0.9572192513368984,0.0053475935828877,0.0053475935828877,0.0106951871657754,0.0053475935828877,0.016042780748663103
23,28110,2385,0.9605911330049262,0.0049261083743842365,0.0049261083743842365,0.009852216748768473,0.0049261083743842365,0.014778325123152709
24,29408,2464,0.9537037037037037,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.004629629629629629,0.013888888888888888
25,30705,2535,0.9323671497584541,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.004830917874396135,0.033816425120772944
26,32004,2601,0.9276018099547512,0.004524886877828055,0.00904977375565611,0.00904977375565611,0.004524886877828055,0.04524886877828054
27,33300,2670,0.9241071428571429,0.004464285714285714,0.013392857142857142,0.008928571428571428,0.004464285714285714,0.044642857142857144
28,34597,2725,0.9191489361702128,0.00425531914893617,0.02127659574468085,0.00851063829787234,0.00425531914893617,0.0425531914893617
29,35894,2785,0.9325396825396826,0.007936507936507936,0.01984126984126984,0.007936507936507936,0.003968253968253968,0.027777777777777776
30,37192,2848,0.9277566539923955,0.0076045627376425855,0.026615969581749048,0.0076045627376425855,0.0038022813688212928,0.026615969581749048
31,38488,2903,0.9186046511627907,0.007751937984496124,0.031007751937984496,0.007751937984496124,0.003875968992248062,0.031007751937984496
32,39786,2983,0.936,0.008,0.016,0.008,0.004,0.028
33,41084,3033,0.937984496124031,0.007751937984496124,0.015503875968992248,0.007751937984496124,0.003875968992248062,0.027131782945736434
34,42382,3089,0.9395161290322581,0.012096774193548387,0.012096774193548387,0.008064516129032258,0.004032258064516129,0.024193548387096774
35,43680,3149,0.9465648854961832,0.011450381679389313,0.011450381679389313,0.007633587786259542,0.003816793893129771,0.019083969465648856
36,44976,3211,0.9429657794676806,0.011406844106463879,0.015209125475285171,0.0076045627376425855,0.0038022813688212928,0.019011406844106463
37,46275,3272,0.9448818897637795,0.007874015748031496,0.011811023622047244,0.007874015748031496,0.003937007874015748,0.023622047244094488
38,47574,3324,0.946360153256705,0.007662835249042145,0.011494252873563218,0.007662835249042145,0.0038314176245210726,0.022988505747126436
39,48871,3390,0.9615384615384616,0.0038461538461538464,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.019230769230769232
40,50169,3449,0.9598393574297188,0.004016064257028112,0.004016064257028112,0.008032128514056224,0.004016064257028112,0.020080321285140562
41,50169,3449,0.9598393574297188,0.004016064257028112,0.004016064257028112,0.008032128514056224,0.004016064257028112,0.020080321285140562
