policy,policy_index,selection_label,welfare_lens,run_name,seed,scenario,scenario_index,climate_ensemble_index,years_above_1p5C,years_above_2C,ever_above_1p5C,ever_above_2C,max_global_temperature,temperature_2100
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_592,29,592,284.0,284.0,True,True,11.706763248778344,11.103524901228207
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_612,30,612,284.0,284.0,True,True,11.750932148739556,11.151981374511598
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_633,31,633,284.0,284.0,True,True,11.780667262730601,11.184982232252722
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_653,32,653,284.0,284.0,True,True,11.800330556595496,11.20687667153276
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_673,33,673,284.0,284.0,True,True,11.813525734485786,11.221414155403751
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_694,34,694,284.0,284.0,True,True,11.822723338546187,11.231388118738053
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_714,35,714,284.0,284.0,True,True,11.82951766051818,11.238599278619697
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_734,36,734,284.0,284.0,True,True,11.834887141534539,11.244167478459786
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_755,37,755,284.0,284.0,True,True,11.839414475809061,11.248764801670756
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_775,38,775,284.0,284.0,True,True,11.843440989151516,11.252786476470561
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_796,39,796,284.0,284.0,True,True,11.847164735750443,11.256462405406058
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_816,40,816,284.0,284.0,True,True,11.85070016406551,11.259925555450522
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_836,41,836,284.0,284.0,True,True,11.85411341076536,11.26325273778839
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_857,42,857,284.0,284.0,True,True,11.857442808928102,11.266488417538612
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_877,43,877,284.0,284.0,True,True,11.860710700765736,11.269658458452154
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_898,44,898,284.0,284.0,True,True,11.8641638491901,11.272778056831719
