delta,eta,rho,ecr_plateau,scenario,policy,model
2.0,1.5,0.010666666666666668,0.0,359,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.001,0.0,360,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.1666666666666665,0.001,0.0,361,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.1666666666666665,0.02033333333333333,0.0,362,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.02033333333333333,0.0,363,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.010666666666666668,0.0,364,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.010666666666666668,0.0,365,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.010666666666666668,0.0,366,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.03,0.0,367,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.5,0.03,0.0,368,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.03,0.0,369,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.03,0.0,370,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.010666666666666668,0.0,371,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.001,0.0,372,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.02033333333333333,0.0,373,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.02033333333333333,0.0,374,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.02033333333333333,0.0,375,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.010666666666666668,0.0,376,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.010666666666666668,0.0,377,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.010666666666666668,0.0,378,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.03,0.0,379,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.03,0.0,380,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.03,0.0,381,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,382,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.010666666666666668,0.0,383,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.010666666666666668,0.0,384,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.010666666666666668,0.0,385,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,386,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.03,0.0,387,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,388,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.010666666666666668,0.0,389,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.03,0.0,390,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.03,0.0,391,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.5,0.010666666666666668,0.0,392,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.5,0.03,0.0,393,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.03,0.0,394,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.03,0.0,395,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.010666666666666668,0.0,396,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.010666666666666668,0.0,397,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.1666666666666665,0.010666666666666668,0.0,398,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.1666666666666665,0.03,0.0,399,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.001,0.0,400,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.001,0.0,401,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.001,0.0,402,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.02033333333333333,0.0,403,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.02033333333333333,0.0,404,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.02033333333333333,0.0,405,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.02033333333333333,0.0,406,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.001,0.0,407,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.010666666666666668,0.0,408,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,409,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.03,0.0,410,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.03,0.0,411,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.001,0.0,412,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.001,0.0,413,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.5,0.001,0.0,414,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.5,0.02033333333333333,0.0,415,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.001,0.0,416,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.001,0.0,417,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.02033333333333333,0.0,418,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.02033333333333333,0.0,419,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.03,0.0,420,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.010666666666666668,0.0,421,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.010666666666666668,0.0,422,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.010666666666666668,0.0,423,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.02033333333333333,0.0,424,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.02033333333333333,0.0,425,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.02033333333333333,0.0,426,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.001,0.0,427,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.03,0.0,428,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.010666666666666668,0.0,429,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.5,0.010666666666666668,0.0,430,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.010666666666666668,0.0,431,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.02033333333333333,0.0,432,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.02033333333333333,0.0,433,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.02033333333333333,0.0,434,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.001,0.0,435,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.010666666666666668,0.0,436,no_abatement,JUSTICE_A2_morris_traceable
