years_above_1p5C,years_above_2C,peak_temp,welfare_loss_damage,policy,success_1p5C_zero_exceedance,success_2C_zero_exceedance
241.0,51.0,2.043217530084229,32190.75391421111,low_abatement,False,False
265.0,249.0,7.659557944495349,3329.493497049931,low_abatement,False,False
266.0,252.0,5.963828914908667,3432.7234221506324,low_abatement,False,False
265.0,241.0,4.415945230372591,256.7961364370172,low_abatement,False,False
265.0,243.0,5.463737980748531,3423953.5437167413,low_abatement,False,False
222.0,59.0,2.0628792229451225,34759.12893272556,low_abatement,False,False
264.0,241.0,4.376277386676184,75142.2232083022,low_abatement,False,False
274.0,257.0,8.233179207425579,8282671.878300865,low_abatement,False,False
257.0,235.0,4.601723201784635,1808.9074390332537,low_abatement,False,False
269.0,239.0,3.5159453982036206,1611.7239695253663,low_abatement,False,False
262.0,0.0,1.8784423416267424,43.055186083767815,low_abatement,False,True
268.0,253.0,6.929789047950088,706.750534636669,low_abatement,False,False
264.0,246.0,4.7015879424661895,58940.79612616832,low_abatement,False,False
271.0,259.0,11.121373685584661,657828.9892691522,low_abatement,False,False
260.0,149.0,2.2098889964620176,13887585.417956885,low_abatement,False,False
267.0,252.0,7.812269069063216,870.5645020382692,low_abatement,False,False
271.0,254.0,3.788064931437251,417.7235125346761,low_abatement,False,False
260.0,240.0,3.951760819138877,29509.67841452247,low_abatement,False,False
276.0,257.0,3.2693749927081863,1027.1864551721337,low_abatement,False,False
271.0,254.0,5.86612138851982,178.2022632891634,low_abatement,False,False
267.0,248.0,5.803666005802514,903.1141918649337,low_abatement,False,False
272.0,259.0,7.865743538222786,660.4505196654296,low_abatement,False,False
264.0,250.0,7.90021381556362,880634894.5689491,low_abatement,False,False
270.0,234.0,2.908570534935493,167450.9096622972,low_abatement,False,False
279.0,264.0,5.886754782740622,229.71421638963423,low_abatement,False,False
266.0,249.0,6.635114640108747,240.6451059615872,low_abatement,False,False
260.0,244.0,5.34714284843621,13606.04690395246,low_abatement,False,False
266.0,244.0,3.9259958402938233,1181.5782234965236,low_abatement,False,False
263.0,241.0,4.800345479135945,188.16169776556086,low_abatement,False,False
252.0,221.0,4.69632796635943,599.086661948345,low_abatement,False,False
265.0,249.0,4.847012162468421,123.71348639643993,low_abatement,False,False
269.0,222.0,2.6171717082661616,1037.8640796032987,low_abatement,False,False
272.0,244.0,4.854305838864141,17096.090012359266,low_abatement,False,False
253.0,116.0,2.0784565702234157,138211439.85713866,low_abatement,False,False
269.0,250.0,5.413692693033479,40381.48282871196,low_abatement,False,False
271.0,258.0,8.794955855209887,8391.534703387046,low_abatement,False,False
258.0,238.0,6.4311169176850935,863.0631906755951,low_abatement,False,False
264.0,243.0,5.185785195598461,239.6815115447992,low_abatement,False,False
272.0,255.0,4.0442538491643925,381.1919652537171,low_abatement,False,False
275.0,257.0,6.2079999862094475,36311071.418721214,low_abatement,False,False
256.0,233.0,5.005326808656989,80572746.98104154,low_abatement,False,False
268.0,248.0,3.968060992876657,1377075956.9799185,low_abatement,False,False
273.0,262.0,9.194464059738257,338.40956978993273,low_abatement,False,False
249.0,199.0,2.5081983939671613,826.5665224891623,low_abatement,False,False
243.0,187.0,2.67602059001375,97.37852010972365,low_abatement,False,False
256.0,187.0,2.428201907373316,121475.29369112165,low_abatement,False,False
257.0,240.0,6.6654556957673465,9869.182454883607,low_abatement,False,False
264.0,222.0,2.920389130484408,2049.1581659975086,low_abatement,False,False
265.0,246.0,4.027820175683029,153.08709280818482,low_abatement,False,False
273.0,254.0,6.502815774369459,79.09078952557341,low_abatement,False,False
257.0,229.0,2.8897816726243493,1253.5700290693603,low_abatement,False,False
256.0,232.0,3.9700589437426466,53129112.54986229,low_abatement,False,False
266.0,242.0,4.56147895475855,1240.6565963165365,low_abatement,False,False
255.0,231.0,3.6394831650632002,821.1241410938688,low_abatement,False,False
271.0,249.0,4.221373425624284,456.17359995430104,low_abatement,False,False
266.0,247.0,5.819598177614307,2450.2347944989037,low_abatement,False,False
272.0,252.0,6.421946773827957,3154.3788835693867,low_abatement,False,False
271.0,250.0,3.1576379524990643,61654654.278882615,low_abatement,False,False
266.0,252.0,7.246358531634167,1255137.366686865,low_abatement,False,False
268.0,243.0,4.052617803889035,340585.59570889967,low_abatement,False,False
274.0,232.0,2.370275051168217,334230.3191248248,low_abatement,False,False
273.0,255.0,6.004242751324208,518463.88154283434,low_abatement,False,False
269.0,252.0,6.165378790137045,495367.303251723,low_abatement,False,False
270.0,257.0,6.7456060865517316,262.86116654816885,low_abatement,False,False
270.0,254.0,3.973234338650896,2093.3148040381016,low_abatement,False,False
269.0,253.0,6.629353815480664,1652083.1091288624,low_abatement,False,False
267.0,247.0,3.3827860819940363,169948991.95586395,low_abatement,False,False
264.0,250.0,6.058254100216576,277906229.81684464,low_abatement,False,False
259.0,232.0,3.666439549828855,2039415.0574628573,low_abatement,False,False
270.0,205.0,2.433552390256983,67.86694602134364,low_abatement,False,False
273.0,253.0,5.527118577226847,266.2010120620422,low_abatement,False,False
270.0,256.0,7.718587013937444,6107.990094265664,low_abatement,False,False
268.0,257.0,9.001614112722734,126.220990098984,low_abatement,False,False
272.0,247.0,4.341355397955493,784.1610253427534,low_abatement,False,False
272.0,257.0,9.962117049864021,260323.86496618742,low_abatement,False,False
270.0,259.0,10.202028279208726,571018.8529007619,low_abatement,False,False
262.0,226.0,3.5165188863497994,739.4668244974773,low_abatement,False,False
263.0,233.0,3.219088148968248,4548767.66398655,low_abatement,False,False
277.0,258.0,5.259399665602193,762.7023846398594,low_abatement,False,False
199.0,0.0,1.7685915657472406,4678.493253729193,low_abatement,False,True
267.0,221.0,2.6885534205979047,2362898.0069268546,low_abatement,False,False
267.0,250.0,5.893003361926639,1955.3657730209422,low_abatement,False,False
274.0,261.0,9.061702931892668,237.58050062270084,low_abatement,False,False
265.0,248.0,5.981642190176942,4168.205467231934,low_abatement,False,False
259.0,244.0,6.50679634153299,21632534.328807544,low_abatement,False,False
267.0,253.0,7.5870347652440175,299.0654751826421,low_abatement,False,False
227.0,0.0,1.6391239468289576,8022.537090303801,low_abatement,False,True
275.0,262.0,10.59239855463596,508424610.6875117,low_abatement,False,False
256.0,207.0,2.7195861997064656,54287.6251796439,low_abatement,False,False
263.0,249.0,6.430290264073357,4148714.3722065412,low_abatement,False,False
264.0,240.0,3.4695956305433904,5123.362386002922,low_abatement,False,False
267.0,242.0,4.424124744755243,1033.7830793637008,low_abatement,False,False
268.0,253.0,9.95194092457887,629998921.953295,low_abatement,False,False
261.0,237.0,4.143699942523804,20819.090653374315,low_abatement,False,False
264.0,242.0,4.996554694858332,1205.389855207272,low_abatement,False,False
267.0,248.0,4.454670854106148,204314.77942460927,low_abatement,False,False
271.0,254.0,7.843583174864203,50989689.65361518,low_abatement,False,False
263.0,248.0,5.864075701497933,27454257.084034298,low_abatement,False,False
