welfare,years_above_temperature_threshold,welfare_loss_damage,welfare_loss_abatement,policy
2235.218112140447,227.0,763.479387054524,197.99321350951612,no_abatement
507.32683245911755,236.0,64.67045542458462,57.2450578437889,no_abatement
744.1925427495449,251.0,574.8397894814502,243.46118748440432,no_abatement
684.4983037063935,254.0,870.7460047524831,1523.30315609365,no_abatement
345.4621149206115,244.0,817.5847565702777,8014.4155927545235,no_abatement
470.48030078170746,229.0,196.48015506842924,29.258276164360364,no_abatement
381.2425837958427,235.0,225.98202028044614,27.245250032239536,no_abatement
121.11479893179248,231.0,1903.578996943284,26360.816884973894,no_abatement
254.33923170942728,240.0,63.58513114628175,31.31674986975784,no_abatement
452.79776888601435,252.0,138.23258733533993,55.22702624818448,no_abatement
303.1965610851108,240.0,781.4496837144734,6074.04320547737,no_abatement
151.3175037042485,234.0,6238.833831163628,163659.73583883545,no_abatement
12220.006063439629,258.0,11870.428094431907,10778.516240235655,no_abatement
400.2986880749696,236.0,58.68497165547073,51.08368936089848,no_abatement
984.8196534785493,231.0,515.6415359254731,52.46206120369156,no_abatement
61.94888500595142,213.0,4952.566115120478,47178.33452963866,no_abatement
1200.8381153464657,259.0,619.9093959734046,95.97119929923906,no_abatement
558.3244065449041,200.0,177.87212093096178,64.16968173249003,no_abatement
241.5867722454534,253.0,37.09190182657293,34.80111285711445,no_abatement
305.06506182479774,227.0,2900.7432926840906,109419.32282413088,no_abatement
4720.797151845157,241.0,4915.71703997977,5323.354141440956,no_abatement
578.8267973962189,249.0,233.91400900372074,68.0446155752376,no_abatement
727.4902498384733,236.0,1174.3365344796625,3842.2669143516687,no_abatement
104.44462649940728,235.0,5700.471627299252,97048.94828617465,no_abatement
1476.7208473819087,255.0,587.9827995435593,137.76459205507234,no_abatement
1731.5730608598064,238.0,771.6644888091298,162.78799187733415,no_abatement
601.0088184845879,247.0,1491.8562631211794,29124.67803475686,no_abatement
157.51876329393843,255.0,908.3541396991141,10123.10562768039,no_abatement
977.1598440265207,243.0,440.0486358827597,86.12714075800542,no_abatement
65.00463758808401,253.0,3129.641654138761,31535.515900888975,no_abatement
1047.7399432269667,211.0,1445.410656175219,3516.5695887420807,no_abatement
1050.7555745562477,239.0,629.1174228393033,78.66336303997291,no_abatement
458.3163999970027,240.0,1200.8051900256828,26539.958264820365,no_abatement
463.28941795579686,254.0,178.7192159784994,38.55653988319531,no_abatement
393.30732818788624,250.0,653.7504303747753,2623.4249883261464,no_abatement
158.2543659045065,239.0,1137.2534204474528,13888.019890233934,no_abatement
2540.589699394292,235.0,2775.3622445906485,3305.8364702839067,no_abatement
675.9833841254988,245.0,410.7788475187791,19.926491781151903,no_abatement
255.78726460124037,254.0,4219.450790617178,177617.0401774982,no_abatement
2681.7144786829567,242.0,2970.6776381924765,3829.239774724555,no_abatement
