,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,32,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.08333333333333333
1,2009,34,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.25,0.08333333333333333
2,3011,34,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333
3,4016,37,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693
4,5019,38,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693
5,6022,40,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142
6,7025,41,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142
7,8026,42,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
8,9029,43,0.2,0.2,0.2,0.2,0.06666666666666667,0.13333333333333333
9,10034,45,0.26666666666666666,0.2,0.2,0.2,0.06666666666666667,0.06666666666666667
10,11044,46,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667
11,12060,46,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667
12,13081,47,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667
13,14098,49,0.2,0.26666666666666666,0.2,0.2,0.06666666666666667,0.06666666666666667
14,15116,50,0.13333333333333333,0.3333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333
15,16132,52,0.13333333333333333,0.4,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
16,17152,52,0.13333333333333333,0.4,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
17,18173,52,0.2,0.3333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
18,19194,53,0.2,0.3333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
19,20215,54,0.3125,0.25,0.1875,0.125,0.0625,0.0625
20,21236,54,0.3125,0.25,0.1875,0.125,0.0625,0.0625
21,22255,55,0.375,0.1875,0.1875,0.125,0.0625,0.0625
22,23272,57,0.375,0.125,0.1875,0.125,0.125,0.0625
23,24293,58,0.375,0.125,0.125,0.1875,0.125,0.0625
24,25312,58,0.375,0.125,0.125,0.1875,0.125,0.0625
25,26335,58,0.375,0.125,0.125,0.1875,0.125,0.0625
26,27361,58,0.375,0.125,0.125,0.1875,0.125,0.0625
27,28385,58,0.375,0.125,0.125,0.1875,0.125,0.0625
28,29395,58,0.25,0.1875,0.1875,0.1875,0.125,0.0625
29,30404,58,0.25,0.1875,0.1875,0.1875,0.125,0.0625
30,31416,58,0.25,0.1875,0.1875,0.1875,0.125,0.0625
31,32417,59,0.25,0.1875,0.1875,0.1875,0.125,0.0625
32,33428,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
33,34437,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
34,35447,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
35,36458,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
36,37466,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
37,38475,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
38,39487,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
39,40532,60,0.375,0.25,0.0625,0.1875,0.0625,0.0625
40,41547,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
41,42560,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
42,43573,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
43,44582,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
44,45598,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
45,46609,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
46,47623,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
47,48663,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
48,49671,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
49,50037,62,0.5,0.125,0.0625,0.1875,0.0625,0.0625
