,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,101,0.15625,0.1875,0.03125,0.53125,0.0625,0.03125
1,2010,171,0.3469387755102041,0.2857142857142857,0.10204081632653061,0.20408163265306123,0.04081632653061224,0.02040816326530612
2,3015,274,0.5185185185185185,0.3148148148148148,0.018518518518518517,0.09259259259259259,0.018518518518518517,0.037037037037037035
3,4019,365,0.6721311475409836,0.21311475409836064,0.01639344262295082,0.04918032786885246,0.01639344262295082,0.03278688524590164
4,5024,478,0.835820895522388,0.05970149253731343,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.029850746268656716
5,6030,588,0.8876404494382022,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.011235955056179775,0.033707865168539325
6,7035,691,0.8913043478260869,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.010869565217391304,0.043478260869565216
7,8039,807,0.9058823529411765,0.011764705882352941,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.023529411764705882
8,9043,924,0.9222222222222223,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.022222222222222223
9,10050,1006,0.9340659340659341,0.01098901098901099,0.01098901098901099,0.02197802197802198,0.01098901098901099,0.01098901098901099
10,11327,1045,0.9318181818181818,0.011363636363636364,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.011363636363636364
11,12350,1114,0.9292929292929293,0.020202020202020204,0.010101010101010102,0.020202020202020204,0.010101010101010102,0.010101010101010102
12,13370,1175,0.897196261682243,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.009345794392523364,0.018691588785046728
13,14391,1244,0.9,0.03,0.03,0.02,0.01,0.01
14,15413,1322,0.9159663865546218,0.025210084033613446,0.025210084033613446,0.01680672268907563,0.008403361344537815,0.008403361344537815
15,16435,1387,0.908256880733945,0.027522935779816515,0.027522935779816515,0.01834862385321101,0.009174311926605505,0.009174311926605505
16,17458,1438,0.9145299145299145,0.02564102564102564,0.02564102564102564,0.017094017094017096,0.008547008547008548,0.008547008547008548
17,18480,1497,0.9242424242424242,0.022727272727272728,0.022727272727272728,0.015151515151515152,0.007575757575757576,0.007575757575757576
18,19502,1571,0.9290780141843972,0.02127659574468085,0.02127659574468085,0.014184397163120567,0.0070921985815602835,0.0070921985815602835
19,20524,1635,0.9444444444444444,0.006944444444444444,0.020833333333333332,0.013888888888888888,0.006944444444444444,0.006944444444444444
20,21546,1689,0.9432624113475178,0.0070921985815602835,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.014184397163120567
21,22567,1728,0.948051948051948,0.006493506493506494,0.012987012987012988,0.012987012987012988,0.006493506493506494,0.012987012987012988
22,23588,1793,0.9420289855072463,0.007246376811594203,0.014492753623188406,0.014492753623188406,0.007246376811594203,0.014492753623188406
23,24610,1849,0.95,0.00625,0.0125,0.0125,0.00625,0.0125
24,25632,1903,0.9467455621301775,0.011834319526627219,0.011834319526627219,0.011834319526627219,0.005917159763313609,0.011834319526627219
25,26652,1961,0.9545454545454546,0.006493506493506494,0.006493506493506494,0.012987012987012988,0.006493506493506494,0.012987012987012988
26,27673,2022,0.9483870967741935,0.012903225806451613,0.0064516129032258064,0.012903225806451613,0.0064516129032258064,0.012903225806451613
27,28695,2077,0.9448275862068966,0.013793103448275862,0.006896551724137931,0.013793103448275862,0.006896551724137931,0.013793103448275862
