,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1003,123,0.2972972972972973,0.10810810810810811,0.05405405405405406,0.4864864864864865,0.02702702702702703,0.02702702702702703
1,2007,232,0.7301587301587301,0.14285714285714285,0.015873015873015872,0.06349206349206349,0.015873015873015872,0.031746031746031744
2,3011,339,0.7796610169491526,0.05084745762711865,0.03389830508474576,0.06779661016949153,0.01694915254237288,0.05084745762711865
3,4015,426,0.7846153846153846,0.046153846153846156,0.03076923076923077,0.046153846153846156,0.015384615384615385,0.07692307692307693
4,5019,573,0.8170731707317073,0.08536585365853659,0.012195121951219513,0.036585365853658534,0.012195121951219513,0.036585365853658534
5,6023,711,0.8823529411764706,0.049019607843137254,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.029411764705882353
6,7029,834,0.9157894736842105,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.031578947368421054
7,8035,962,0.9166666666666666,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.03125
8,9042,1101,0.9210526315789473,0.008771929824561403,0.02631578947368421,0.017543859649122806,0.008771929824561403,0.017543859649122806
9,10050,1208,0.925,0.008333333333333333,0.025,0.016666666666666666,0.008333333333333333,0.016666666666666666
10,11382,1254,0.925,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.008333333333333333,0.03333333333333333
11,12835,1323,0.91,0.02,0.01,0.02,0.01,0.03
12,14289,1409,0.9166666666666666,0.025,0.008333333333333333,0.016666666666666666,0.008333333333333333,0.025
13,15742,1492,0.9365079365079365,0.023809523809523808,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.007936507936507936
14,17195,1563,0.9316239316239316,0.02564102564102564,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.008547008547008548
15,18648,1668,0.9455782312925171,0.02040816326530612,0.006802721088435374,0.013605442176870748,0.006802721088435374,0.006802721088435374
16,20102,1756,0.9319727891156463,0.027210884353741496,0.013605442176870748,0.013605442176870748,0.006802721088435374,0.006802721088435374
17,21555,1864,0.9324324324324325,0.033783783783783786,0.006756756756756757,0.013513513513513514,0.006756756756756757,0.006756756756756757
18,23009,1961,0.9433962264150944,0.025157232704402517,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.006289308176100629
19,24464,2054,0.9397590361445783,0.030120481927710843,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.006024096385542169
20,25918,2145,0.94375,0.025,0.00625,0.0125,0.00625,0.00625
21,27370,2240,0.9470588235294117,0.023529411764705882,0.0058823529411764705,0.011764705882352941,0.0058823529411764705,0.0058823529411764705
22,28822,2322,0.9425287356321839,0.028735632183908046,0.005747126436781609,0.011494252873563218,0.005747126436781609,0.005747126436781609
23,30274,2412,0.9392265193370166,0.027624309392265192,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.0055248618784530384
24,31727,2494,0.9402173913043478,0.021739130434782608,0.016304347826086956,0.010869565217391304,0.005434782608695652,0.005434782608695652
25,33181,2608,0.9411764705882353,0.016042780748663103,0.0213903743315508,0.0106951871657754,0.0053475935828877,0.0053475935828877
26,34635,2714,0.9378531073446328,0.011299435028248588,0.02824858757062147,0.011299435028248588,0.005649717514124294,0.005649717514124294
27,36088,2811,0.9395604395604396,0.01098901098901099,0.027472527472527472,0.01098901098901099,0.005494505494505495,0.005494505494505495
28,37542,2879,0.9523809523809523,0.010582010582010581,0.015873015873015872,0.010582010582010581,0.005291005291005291,0.005291005291005291
29,38996,2989,0.9591836734693877,0.00510204081632653,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.01020408163265306
30,40449,3067,0.9569377990430622,0.009569377990430622,0.014354066985645933,0.009569377990430622,0.004784688995215311,0.004784688995215311
31,41902,3146,0.9594594594594594,0.0045045045045045045,0.018018018018018018,0.009009009009009009,0.0045045045045045045,0.0045045045045045045
32,43355,3232,0.9674418604651163,0.004651162790697674,0.009302325581395349,0.009302325581395349,0.004651162790697674,0.004651162790697674
33,44807,3316,0.9658536585365853,0.004878048780487805,0.00975609756097561,0.00975609756097561,0.004878048780487805,0.004878048780487805
34,46262,3383,0.9692982456140351,0.0043859649122807015,0.008771929824561403,0.008771929824561403,0.0043859649122807015,0.0043859649122807015
35,47715,3462,0.9605263157894737,0.0043859649122807015,0.017543859649122806,0.008771929824561403,0.0043859649122807015,0.0043859649122807015
36,49170,3533,0.9567099567099567,0.004329004329004329,0.017316017316017316,0.008658008658008658,0.004329004329004329,0.008658008658008658
37,50139,3580,0.9647577092511013,0.004405286343612335,0.013215859030837005,0.00881057268722467,0.004405286343612335,0.004405286343612335
